Python basics Let’s Code
Status;Aula;Links
Modulo 01 - Basics ;;
VERDADEIRO;Por que Python? [5min];https://youtu.be/LRLpIU7ZO00
VERDADEIRO;Instalações [5min];https://youtu.be/qYy-u_dil9Q
VERDADEIRO;Tipos de Variáveis [8min];https://youtu.be/qZqmJtB2Irw
VERDADEIRO;Operadores [11min];https://youtu.be/o6_MZEEJq9g
VERDADEIRO;Estruturas Sequenciais [11min];https://youtu.be/1aaX2pqjUyg
VERDADEIRO;Estruturas Condicionais [13min];https://youtu.be/5jpKXzVtBKk
VERDADEIRO;Estruturas de Repetição - While [12min];https://youtu.be/TsPkjfuOtpc
Modulo 02 -  Estruturas avançadas ;;
VERDADEIRO;Listas e Tuplas [22min];https://youtu.be/57vyCiQaid0
VERDADEIRO;Strings I [15min];https://youtu.be/-rTgV4B9zCk
VERDADEIRO;Strings II [10min];https://youtu.be/M7p36VNFsLw
VERDADEIRO;Dicionários [13min];https://youtu.be/3HPgSZ0kpl0
VERDADEIRO;Estruturas de Repetição - For [11min];https://youtu.be/nHHBOzT7jYY
VERDADEIRO;Funções I [10min];https://youtu.be/KDfWXV-AAgY
VERDADEIRO;Funções II [8min];https://youtu.be/dWaxLS-kjxo
Modulo 03 -  Aplicações;;
VERDADEIRO;Manipulação de Arquivos [14min];https://youtu.be/x1zddEMl6nM
VERDADEIRO;Arquivos CSV [13min];https://youtu.be/8CxTbdPMwYg
VERDADEIRO;APIs [10min];https://youtu.be/p0aOJYKfbPQ
VERDADEIRO;Projeto | Parte 1 [16min];https://youtu.be/5sVxwXEHx2g
FALSO;Projeto | Parte 2 [23min];https://youtu.be/O9L13QzpgEg
